content,windows
what do i have to install in order to be able to be able to share files with windows///,1
"are the linux and windows os's that need access to the shared folders, online at the same time?",1
are you using windows?,1
theres not really any viruses in the wild for linux that i know of.. and  the job of these av tools.. is mainly to scan files for windows viruses..,1
besides i am a network admin in a windows environment ;-),1
you email from a windows machine? like at work or something?,1
"i am stating reasons why ""people"" using windows would.",1
why would you compress files in windows?,1
thanks! :) i'm going to try now on the windows side. brb,1
anyone know of file splitting/joining software that works on both ubuntu and windows,1
"can someone help me please. i have an old windows partition that got messed up when i was resizing the partition to put ubuntu.  the os is messed up but the partition is still there. gparted has it listed as /dev/sda3 i tried to mount it but i keep getting this error you must specify the filesystem type"" i'm not sure what i have to do to access the files on this partition.",1
i was wondering if someone could help me out. i used to have windows on this computer and when i was resizing the c: partition to install ubuntu on it something happened and it got trashed.  the partition is still there but i can't seem to access the data. how can i access it? do i need to mount it?,1
anyone know a good windows password recovery tool?,1
"so i was saying... i have a 500 gb, with a windows partition with the boot sector. now i wanna just get rid of any memories of billy altogether (finally)",1
"you sure? i doubt it, i've only ever used ipv4 on windows 7. also try looking around in /etc/network/ for a configuration file.",1
yo usaba mirc para el windows,1
on windows side do i need to do anything else,1
i have a pc windows 7 and laptop ubuntu,1
tried to rescue the windows. my program dies. won't even analysize. windows is toast.,1
"if malware is invloved, you can boot ubuntu, download avast, avg, or just use ubuntu's clam av, and scan the windows dirve from ubuntu.",1
im on windows and the ext4 drivers arent letting me modify anything,1
your current open windows do not display anymore?,1
crucilahoax: here is my query i have firefox and chrome opened along with a terminal and everything shows in right hand bottom corner.. but not in the taskbar.. i need to use alt to switch back to windows,1
so there is no icon in the bottom panel listing or showing your open windows? when they minimize they seem to `disappear`?,1
"hello, i have just installed ubuntu on my laptop. the problem is that i don't know how to search wireless connections the way i do with windows. could you help me?",1
where would i find idle from? does it not come with the python linux download (as in for windows),1
(in windows there was a shortcut to idle in programs menu)...,1
"no, you are not locked in. i see ubuntu as a stepping stone from windows to the overall linux world.",1
"and basically what you're telling me is ubuntu has customized linux to the core, thereby having lockins like ms windows.",1
"i just installed ubuntu to my external hard-drive, but i need it to boot into windows too. how do i get it to boot windows by dfault? is there a way to make ubuntu only boot when my external harddrive with ubuntu on it is plugged in?",1
"mostly using vista which i hate i mean who likes vista??? or windows at all , it's just bad",1
pretend you're on windows and want to use a proxy,1
i cant see my windows when i reduce they disappear??,1
"yes it does if you don't got sufficient hardware, i'm running triple boot with windows and didn't want to mess with it so just used easybcd, yes there's a free alternative",1
use windows boot loader? there's easybcd to easily manage the boot loader and add/remove entries..,1
can i pm as this question can come under windows,1
"i installed ubuntu on windows as a program and then uninstalled and now when i start my computer is asks me of i want to run windows or ubuntu, when i click on ubuntu it fails because i removed the files. so how do i get ubuntu off of startup?",1
"danger your partition broke allready, so windows won't boot",1
"is anyone else having trouble signing into facebook with ubuntu? i tried both firefox and chrome, and it keeps saying to reset my password. i switch over to windows and i go right in. it does it on both my pc and my laptop",1
is there no way to get that time down? like on windows with quick format?,1
i'm on windows knoppies,1
"sorry, you have to override windows bootloader, making it the first hd",1
the master has windows on it,1
"i tried a lot on ubuntu 12.04, but couldnt set up. what i want is something like ""connectify"" which works for windows",1
usb file system is windows fat,1
"if mounting a remote file server via nautilus (i think that's it, like the finder in osx or iexplore in windows for browsing the filesysetm), where does that get mounted so i can get to the same directory via the terminal?  i'm unable to see it mounted in /proc/mounts",1
"i tried windows boot cd, still no luck",1
"i mistakenly set ubuntu as default os and unchecked the box that gives me 10 secs to select correct os, now i keep on going to grub and when i select windows boot manager from grub, i come back to grub",1
"i'm trying to install 11.04 alpha 3 to a flash drive, i would like to use fat32 so it can be read by windows but for the pre made mount points it won't let me. can i still force it to be root?",1
meh. you leave it plugged all times? i think it's a rule that nobody know... that you should let it drain down at least 3 times per month. once a week or something like that. i remember installing old laptop. windows say 100% but ubuntu was pretty accurate -- bad battery.,1
downside = you still have windows installed,1
grub on the windows hd shouldlent really affect anything,1
windows wont see the  hd.. so no letters...,1
"i have a windows pc (xp), a mac laptop, and this ubuntu laptop",1
"it's a dangerous thing to do, some people do that on windows, sometimesleaves the system unbootable too",1
i think i will just ask a neighbor with a windows machine. i want to install a program on it.,1
"i tried 2 others that should contain data. same story. i'm going to give this one u and go do this project on a windows machine. all i want to do is get a report on this failed windows installation with ""belarc advisor"" and get the oem number for it. i'll leave it for another day. another computer. thanks for trying",1
try some differnt themes. the windows borders and buttons can be easier to use with a theme like 'bluecurve' or some others.,1
description: switch between open windows using buttons (that;s what you want right?),1
"if you have the time and skill it would be really nice if you could contribute to one of the current game projects, i think if there were some really really good games (that also look nice) on ubuntu then windows gamers would have 1 less ""bad"" thing to say about it",1
"i installed 9.04 along side windows xp but cant boot xp,it return an error that the hal.dll file is missing or corrupt",1
is it windows right now?,1
http://www.ubuntu.com/download/help/create-a-usb-stick-on-windows,1
thanks. me too. i've been at this on one way or another for many weeks. then i got tired of it and have been just using windows.,1
nevermind you are the old-style difficult help. the guys who say reinstall windows.,1
yeah they are running mixed atm... let me try windows on 32 bit,1
